Name;vendor;varint;fixed;nullable;variable;blob;numeric;collate;unicode;ascii;datetime;size;nullable type;display size;binary;variant;
SYB5BIGTIME;SYB;1;0;1;0;0;0;0;0;0;1;8;0;15;0;0;
SYB5BIGDATETIME;SYB;1;0;1;0;0;0;0;0;0;1;8;0;26;0;0;
SYB5INT8;SYB;0;1;0;0;0;0;0;0;0;0;8;SYBINTN;20;0;0;
SYBBINARY;ALL;1;0;0;1;0;0;0;0;0;0;-1;0;2*S;1;1;
SYBBIT;ALL;0;1;0;0;0;0;0;0;0;0;1;SYBBITN;1;0;1;
SYBBITN;MS;1;0;1;0;0;0;0;0;0;0;1;0;1;0;1;# Sybase bit is not nullable
#SYBBLOB;SYB;??;0;1;1;1;0;0;Depend;Depend;0;-1;0;;0;0;
SYBBOUNDARY;SYB;1;0;1;1;0;0;0;0;1;0;-1;0;;0;0;
SYBCHAR;ALL;1;0;0;1;0;0;0;0;1;0;-1;0;S;0;1;
SYBDATE;SYB;0;1;0;0;0;0;0;0;0;1;4;SYBDATEN;19;0;0;# FIXME check always yyyy-mm-dd ??
SYBDATEN;SYB;1;0;1;0;0;0;0;0;0;1;4;0;19;0;0;
SYBDATETIME;ALL;0;1;0;0;0;0;0;0;0;1;8;SYBDATETIMN;23;0;1;# yyyy-mm-dd hh:mm:ss[.fff], precision !!
SYBDATETIME4;ALL;0;1;0;0;0;0;0;0;0;1;4;SYBDATETIMN;19;0;1;# yyyy-mm-dd hh:mm:ss[.fff]
SYBDATETIMN;ALL;1;0;1;0;0;0;0;0;0;1;-1;0;;0;1;
SYBMSDATE;MS;1;1;1;0;0;0;0;0;0;1;3;0;10;0;1;
SYBMSTIME;MS;1;0;1;0;0;0;0;0;0;1;-1;0;16;0;1;
SYBMSDATETIME2;MS;1;0;1;0;0;0;0;0;0;1;-1;0;27;0;1;# display 10+1+16
SYBMSDATETIMEOFFSET;MS;1;0;1;0;0;0;0;0;0;1;-1;0;33;0;1;# display 10+1+16+1+5
SYBDECIMAL;ALL;1;0;0;0;0;1;0;0;0;0;-1;0;P+2;0;1;
SYBFLT8;ALL;0;1;0;0;0;0;0;0;0;0;8;SYBFLTN;24;0;1;# sure display??
SYBFLTN;ALL;1;0;1;0;0;0;0;0;0;0;-1;0;;0;1;
SYBIMAGE;ALL;5;0;1;1;1;0;0;0;0;0;-1;0;2*S;1;0;
SYBINT1;ALL;0;1;0;0;0;0;0;0;0;0;1;SYBINTN;3;0;1;
SYBINT2;ALL;0;1;0;0;0;0;0;0;0;0;2;SYBINTN;6;0;1;
SYBINT4;ALL;0;1;0;0;0;0;0;0;0;0;4;SYBINTN;11;0;1;
SYBINT8;MS;0;1;0;0;0;0;0;0;0;0;8;SYBINTN;20;0;1;
SYBINTERVAL;SYB;0;1;0;0;0;0;0;0;0;0;8;0;;0;0;
SYBINTN;ALL;1;0;1;0;0;0;0;0;0;0;-1;0;;0;1;
SYBLONGBINARY;SYB;4;0;1;1;1;0;0;Depend;Depend;0;-1;0;2*S;1;0;
SYBLONGCHAR;SYB;4;0;1;1;1;0;0;??;1;0;-1;0;S;0;0;
SYBMONEY;ALL;0;1;0;0;0;0;0;0;0;0;8;SYBMONEYN;21;0;1;
SYBMONEY4;ALL;0;1;0;0;0;0;0;0;0;0;4;SYBMONEYN;12;0;1;
SYBMONEYN;ALL;1;0;1;0;0;0;0;0;0;0;-1;0;;0;1;
